ID,주차,유형,제목,모드,위험,법적·윤리 플래그,시점 재확인,게시 조건
VT00,W02,예고,"검찰·빅테크·돈의 힘, 심업사상으로 다시 묻다",예고,중간,,,시각·음성 권리 및 공개 승인
V01,W03,본편,"사이론: 검찰청 폐지와 공소청 신설, 무엇이 바뀌어야 하는가?",촬영갱신,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토 / 실명 개인 — 공적 역할 범위로 한정 / 피해자·유족 보호(재난보도준칙 준용, 동의·익명화)","공소청법(법률 제21490호, 2026.3.24 제정) 부칙 제1조 시행일 2026.10.2(제41조 예외), 제2조 검찰청법 폐지(국가법령정보센터, v6 정정서). 시행일 규정과 실제 조직 출범·운영은 별개이므로 촬영 전 확인 후 제목·시제 확정. 원제 '검찰총장이 바뀌면 검찰도 바뀌는가?'는 보류.",원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V02,W04,본편,"집격론: 보잉 사고, 작업자 실수만 보면 무엇을 놓칠까?",축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",NTSB 최종 보고서 채택(2025년 추정) 이후의 FAA·보잉 후속 조치 확인.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V03,W05,본편,"집격론: OpenAI 이사회와 CEO, 회사의 주인은 누구인가?",축적사례,높음,"실명 개인 — 공적 역할 범위로 한정 / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",OpenAI의 2025년 지배구조 개편(공익법인 전환 등) 이후 상태를 반영. 2023년 사건만으로 '현재 구조'를 설명하지 않음.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V04,W06,본편,패턴 인식 자기 모델(PISM): 웰스파고 직원들은 왜 계좌 숫자에 매달렸나?,축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V05,W07,본편,비법 법철학: 플랫폼 약관에 동의했으면 끝인가?,핫이슈,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토 / 진행 중 소송·절차 — 결론 암시 금지",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V06,W09,본편,집격론: 검찰 조직을 바꾸면 반복도 끊어질까?,촬영갱신,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",공소청법 시행(2026.10.2 규정)과 검찰청법 폐지 이후 실제 조직 출범·기능 이관을 촬영일 기준으로 확인. 공개 예정 W09 시점에는 시행 직후라 S2 핫이슈가 됨.,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V07,W10,본편,외장도덕 윤리학: 종교의 선행과 조직의 책임은 같은가?,축적사례,높음,"피해자·유족 보호(재난보도준칙 준용, 동의·익명화) / 명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V08,W11,본편,외장도덕 윤리학: 폭스뉴스 사건: 신념과 조직의 이해는 어떻게 만날까?,축적사례,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토 / 저작권 — 기사·영상 인용 범위 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
V09,W12,본편,"상위레벨 기준점(ULBP): 의료 갈등, 정부와 의사 사이에 환자는 어디 있나?",촬영갱신,높음,"명예훼손(형법 307·310조, 정보통신망법 70조) 검토",,원자료·사건시점·당사자 설명·반례·인용권리·저자 최종 검수 통과 전 게시 금지
