ID,시즌,공개제목,주이론,대표 학자,핵심 개념,원전,사이론 v0.37 준거 장,사이론 사례 색인,렌즈 학자(참고),계승점,비판점,사이론 보완,미토 프로토콜,사이 열기 슬롯,기존 대본,검토 출처
V01,S1,사이론: 검찰총장이 바뀌면 검찰도 바뀌는가?,사이론 — 중심 총론,플라톤,철인통치 — 좋은 통치자를 세우면 나라가 바로 선다는 발상,『국가』,1·2장(플라톤: 정지의 근본화),"검찰 — 구성원이 바뀌어도 이어지는 집격, 기소독점(1·2·3·6·11·12장, 1장 F2)",파르메니데스·플라톤·데카르트·하이데거,존재·주체·구조를 정밀하게 구별한 문제의식,고정된 존재를 앞세우면 운행·관계·사이에서 생기는 작용이 주변화될 수 있다. 이는 각 철학자의 전체 사상을 부정하는 말이 아니라 사이론의 비판적 독법이다.,운행·靜動·사이·이행/병존/유보로 고정과 흐름을 함께 분석,,,EP.04 「검찰은 왜 검찰을 못 잡나」(24분),사이론 v0.36 서문·1–2장; 각 학자 원전·연구문헌은 회차별 확인
V02,S1,"집격론: 보잉 사고, 작업자 실수만 보면 무엇을 놓칠까?",집격론 — 조직화된 집단을 읽는 법,니클라스 루만,작동적 폐쇄 — 집단이 자기 논리로 돈다,『사회적 체계들』(1984),6장(루만: 소통 불가능성을 원리로 세움),"보잉 737 MAX — 木·金 과잉이 水를 눌러 응답이 무너짐, 안에서 묻힌 우려(5·12장). v6의 알래스카 1282편과 연결해 쓴다",푸코·부르디외·루만·리스트/페팃,권력·아비투스·사회체계·집단행위성 분석,권력의 작동이나 집단의 행위성을 설명해도 책임의 수신처와 행위자-구조 사이의 지속 패턴이 남을 수 있다. 해당 학자의 이론 전체를 “실패”로 단정하지 않는다.,집단행위자·집단구조·집격을 세 언표로 나누고 공동책임을 질문,,,,사이론 v0.36 11장·S-17a·S-28; 학자별 원전 확인
V03,S1,"집격론: OpenAI 이사회와 CEO, 회사의 주인은 누구인가?",집격론 — 조직화된 집단을 읽는 법,리스트/페팃,집단행위자(group agent)의 성립 조건,『Group Agency』(2011),11·17장(리스트·페팃: 행위자·구조·구성원의 사이를 묻지 않음),,푸코·부르디외·루만·리스트/페팃,권력·아비투스·사회체계·집단행위성 분석,권력의 작동이나 집단의 행위성을 설명해도 책임의 수신처와 행위자-구조 사이의 지속 패턴이 남을 수 있다. 해당 학자의 이론 전체를 “실패”로 단정하지 않는다.,집단행위자·집단구조·집격을 세 언표로 나누고 공동책임을 질문,,,,사이론 v0.36 11장·S-17a·S-28; 학자별 원전 확인
V04,S1,패턴 인식 자기 모델(PISM): 웰스파고 직원들은 왜 계좌 숫자에 매달렸나?,패턴 인식 자기 모델(PISM) — 사람은 왜 조직의 패턴을 자기 것처럼 받아들이는가,미셸 푸코,규율권력 — 평가·수치·감시가 행동을 만든다,『감시와 처벌』(1975),,,아렌트·푸코·부르디외·카너먼,순응·주체화·습속·판단 편향의 메커니즘,개인의 판단 중단·주체화·인지 편향만으로 조직 패턴과 책임 주소를 설명하면 집격의 조건이 흐려질 수 있다. 심리 실험의 범위를 사회 일반 법칙으로 확대하지 않는다.,개인의 판단기제와 여러 집격 패턴의 동기화를 분리,,,,사이론 v0.36 13장·PISM 원전; 학자 원전과 실증연구 확인
V05,S1,비법 법철학: 플랫폼 약관에 동의했으면 끝인가?,비법 법철학 — 합법 형식 안의 구조적 폭력을 본다,한스 켈젠,법적 효력은 상위규범에서 나온다는 순수법학,『순수법학』(1934/1960),,,켈젠·하트·베버·드워킨,법의 형식·규칙·권위·해석의 정밀화,법적 유효성이나 절차적 정당성만으로 구조적 피해와 책임 전가가 사라지는 것은 아니다. 각 법철학자의 법/도덕 구분을 정확히 소개한다.,합법 형식 안의 구조적 폭력이라는 비법의 질문과 피해 당사자 기준,,,,사이론 v0.36 8장·17장; 비법 원전·법률자료 확인
V06,S2,집격론: 검찰 조직을 바꾸면 반복도 끊어질까?,집격론 — 조직화된 집단을 읽는 법,피에르 부르디외,아비투스 — 제도가 바뀌어도 몸에 밴 성향은 남는다,『실천이론 개요』(1972),2장(부르디외: 구조·행위 사이에 이름을 주지 않음),"검찰 — 구조가 행위자를 만듦, 사건을 고르고 덮는 방식의 지속(1·2·3·6·11·12장)",푸코·부르디외·루만·리스트/페팃,권력·아비투스·사회체계·집단행위성 분석,권력의 작동이나 집단의 행위성을 설명해도 책임의 수신처와 행위자-구조 사이의 지속 패턴이 남을 수 있다. 해당 학자의 이론 전체를 “실패”로 단정하지 않는다.,집단행위자·집단구조·집격을 세 언표로 나누고 공동책임을 질문,,,EP.04 「검찰은 왜 검찰을 못 잡나」(24분),사이론 v0.36 11장·S-17a·S-28; 학자별 원전 확인
V07,S2,외장도덕 윤리학: 종교의 선행과 조직의 책임은 같은가?,외장도덕 윤리학 — 좋은 개인이 조직의 폐쇄를 가릴 때,에마뉘엘 레비나스,타자의 얼굴 앞에서 생기는 무한 책임,『전체성과 무한』(1961),,,칸트·아렌트·레비나스,개인 양심·악의 평범성·타자 책임,개인의 덕성과 선의를 강조해 조직 경계·보상·침묵의 조건이 가려질 수 있다. 타자 윤리를 집격의 제도 책임으로 자동 환원하지 않는다.,외장도덕과 집격의 응답·기억·책임을 분리,,,,사이론 v0.36 15·17장; 윤리학 원전 확인
V08,S2,외장도덕 윤리학: 폭스뉴스 사건: 신념과 조직의 이해는 어떻게 만날까?,외장도덕 윤리학 — 좋은 개인이 조직의 폐쇄를 가릴 때,한나 아렌트,사실적 진리와 정치적 의견의 긴장,「진리와 정치」(1967),,,칸트·아렌트·레비나스,개인 양심·악의 평범성·타자 책임,개인의 덕성과 선의를 강조해 조직 경계·보상·침묵의 조건이 가려질 수 있다. 타자 윤리를 집격의 제도 책임으로 자동 환원하지 않는다.,외장도덕과 집격의 응답·기억·책임을 분리,,,,사이론 v0.36 15·17장; 윤리학 원전 확인
V09,S2,"상위레벨 기준점(ULBP): 의료 갈등, 정부와 의사 사이에 환자는 어디 있나?",상위레벨 기준점(ULBP) — 더 넓게 보되 작은 피해를 지우지 않는 기준,존 롤스,원초적 입장·최소수혜자 우선,『정의론』(1971),,,칸트·롤스·공리주의 전통,보편성·공정성·더 넓은 판단 범위의 요구,보편 기준이나 총합 효용이 실제 당사자의 비대칭·소수 피해를 지울 위험을 비판적으로 점검한다. 롤스·칸트·공리주의를 하나의 입장으로 뭉개지 않는다.,"상위는 권력이 아니라 범위이며, 전체를 이유로 부분 피해를 지우지 않는 기준",,정부·의사 사이에서 환자의 자리 — 조정 못함과 조정 막음의 구별(18장),,사이론 v0.36 S-30·17장; 원전·현대 연구 대조 필요
V10,S2,회통주의 방법론: 플랫폼·라이더·가게가 같은 테이블에 앉으면?,회통주의 방법론 — 다른 관점을 함께 통과시키는 법,위르겐 하버마스,이상적 담화 상황·의사소통 합리성,『의사소통행위이론』(1981),,,헤겔·가다머·하버마스·데리다,대화·역사성·인정·공론·차이와 해체의 자원,통합·합의·대화가 실제 권력 비대칭과 배제 조건을 감출 수 있다. 모든 차이를 화해시키는 방식으로 사용하지 않는다.,차이를 보존한 관점 이동과 응답·수정 가능한 사이,,,,사이론 v0.36 7–10장·19장; 해당 원전·연구문헌 확인
