이론,유관 학자,계승점,비판·보완,원전 검토상태
"사이론","파르메니데스·플라톤·데카르트·하이데거","존재·주체·구조를 정밀하게 구별한 문제의식","고정된 존재를 앞세우면 운행·관계·사이에서 생기는 작용이 주변화될 수 있다. 이는 각 철학자의 전체 사상을 부정하는 말이 아니라 사이론의 비판적 독법이다.","사이론 v0.36 서문·1–2장; 각 학자 원전·연구문헌은 회차별 확인"
"GROUP","푸코·부르디외·루만·리스트/페팃","권력·아비투스·사회체계·집단행위성 분석","권력의 작동이나 집단의 행위성을 설명해도 책임의 수신처와 행위자-구조 사이의 지속 패턴이 남을 수 있다. 해당 학자의 이론 전체를 “실패”로 단정하지 않는다.","사이론 v0.36 11장·S-17a·S-28; 학자별 원전 확인"
"ULBP","칸트·롤스·공리주의 전통","보편성·공정성·더 넓은 판단 범위의 요구","보편 기준이나 총합 효용이 실제 당사자의 비대칭·소수 피해를 지울 위험을 비판적으로 점검한다. 롤스·칸트·공리주의를 하나의 입장으로 뭉개지 않는다.","사이론 v0.36 S-30·17장; 원전·현대 연구 대조 필요"
"PISM","아렌트·푸코·부르디외·카너먼","순응·주체화·습속·판단 편향의 메커니즘","개인의 판단 중단·주체화·인지 편향만으로 조직 패턴과 책임 주소를 설명하면 집격의 조건이 흐려질 수 있다. 심리 실험의 범위를 사회 일반 법칙으로 확대하지 않는다.","사이론 v0.36 13장·PISM 원전; 학자 원전과 실증연구 확인"
"NONLAW","켈젠·하트·베버·드워킨","법의 형식·규칙·권위·해석의 정밀화","법적 유효성이나 절차적 정당성만으로 구조적 피해와 책임 전가가 사라지는 것은 아니다. 각 법철학자의 법/도덕 구분을 정확히 소개한다.","사이론 v0.36 8장·17장; 비법 원전·법률자료 확인"
"EM","칸트·아렌트·레비나스","개인 양심·악의 평범성·타자 책임","개인의 덕성과 선의를 강조해 조직 경계·보상·침묵의 조건이 가려질 수 있다. 타자 윤리를 집격의 제도 책임으로 자동 환원하지 않는다.","사이론 v0.36 15·17장; 윤리학 원전 확인"
"CONV","헤겔·가다머·하버마스·데리다","대화·역사성·인정·공론·차이와 해체의 자원","통합·합의·대화가 실제 권력 비대칭과 배제 조건을 감출 수 있다. 모든 차이를 화해시키는 방식으로 사용하지 않는다.","사이론 v0.36 7–10장·19장; 해당 원전·연구문헌 확인"
"CFG","마르크스·베버·폴라니·슘페터","자본·금융·관료제·시장과 경제 변동 분석","계급·시장·혁신 하나의 층위만으로 자본금융 집격의 정보·법·미디어·책임 연결을 다 설명하지 못할 수 있다. 실명 금융기관의 공모는 자료 없이는 단정하지 않는다.","CFG 원전·사이론 v0.36 결론; 경제학 원전·공개자료 확인"
"FMM","홉스·마르크스·베버·부르디외","강제력·자본·정당성·상징권력의 분석","힘에서 돈, 돈에서 멋으로의 역사 서사를 필연적 진보로 만들지 않는다. 여러 권력 양식의 공존과 역행을 분석한다.","사이론 v0.36 18장·문명론 원전; 역사 사례 확인"
"DECEPT","그람시·하버마스·드보르·맥루언","헤게모니·공론장·스펙터클·매체 환경 분석","동의·미디어·프레임을 설명하면서 실제 결정권자·피해 당사자·수정 절차를 놓치지 않는다. 모든 언론 차이를 조작으로 단정하지 않는다.","사이론 v0.36 18장·혹세무민 원전; 기사 원문 대조"
